total_loss,test_loss
2306.0425572395325,2155.5063004493713
2118.2853813171387,2078.094326019287
2023.0491156578064,1957.2597002983093
1913.4515113830566,1857.9246835708618
1826.1136207580566,1780.061098575592
1759.5516157150269,1720.3755421638489
1705.0312786102295,1670.1167252063751
1657.4248175621033,1623.4182953834534
1615.1440567970276,1581.3299820423126
1576.1621236801147,1545.0332794189453
1540.7965474128723,1509.8520939350128
1508.155285835266,1476.618813753128
1477.0898382663727,1447.142895936966
1448.6603515148163,1419.248604774475
1421.4603643417358,1393.3454473018646
1396.0024952888489,1368.1515562534332
1371.7778370380402,1344.7648060321808
1348.5094192028046,1321.9933812618256
1326.2788486480713,1300.5135517120361
1306.4880311489105,1281.9300408363342
1286.0044341087341,1261.315503358841
1267.3307659626007,1242.124274611473
1249.846818447113,1222.8744630813599
1230.4500596523285,1206.9853250980377
1215.6450295448303,1192.4842958450317
1198.5684056282043,1174.6942031383514
1183.8197071552277,1162.7437535524368
1169.618281841278,1150.6629927158356
1156.4622976779938,1136.846404671669
1143.3086185455322,1120.073108792305
1129.4156892299652,1108.6625870466232
1116.9712886810303,1095.115579366684
1106.134122133255,1083.0953528881073
1092.550161600113,1072.3538517951965
1082.3090825080872,1061.3309611082077
1071.9688985347748,1052.782804965973
1061.9226315021515,1042.7743043899536
1051.2364246845245,1032.7395627498627
1042.333241701126,1023.7467286586761
1032.4633650779724,1013.9753090143204
1024.611008644104,1005.4039671421051
1015.9009346961975,999.3359068632126
1006.9142847061157,988.1982173919678
999.0202965736389,979.6557002067566
990.7289700508118,972.9809778928757
982.9780714511871,964.7645136117935
976.5840857028961,958.6495159864426
968.3345172405243,948.3745946884155
959.0293328762054,941.3694354891777
953.7766251564026,934.723691701889
946.7107422351837,928.3942193388939
941.7002313137054,926.2160792946815
935.6269454956055,920.4703953266144
929.6905150413513,912.2195798754692
924.0930337905884,903.5861228108406
916.8968288898468,899.8106396794319
912.7392768859863,893.3726564049721
906.8688344955444,891.5671502351761
902.694286108017,884.1793464422226
897.5491859912872,888.9735783338547
892.9994802474976,875.3527116179466
886.505345582962,867.8651527762413
881.989019870758,867.0027858614922
877.8887712955475,859.8823170661926
874.1454205513,860.6080958247185
869.3910546302795,851.2450396418571
863.6661019325256,847.6998454928398
859.9835884571075,841.5944364666939
854.2646915912628,838.3747628927231
851.5973715782166,833.1881378889084
846.5877126455307,831.1614186763763
843.6742861270905,828.2045364975929
839.7347769737244,825.5931889414787
837.7040319442749,821.1300547122955
833.1832692623138,818.4599350690842
830.3227463960648,814.0499392151833
826.5832545757294,811.513300538063
823.7141069173813,809.2255195379257
818.888186454773,806.3302380442619
816.8819593191147,803.4721406698227
814.5433208942413,799.1786202788353
