Reward,Average Reward,Steps
-12,-13.68,2045
-11,-13.61,2428
-15,-13.61,1830
-12,-13.6,2104
-9,-13.53,2704
-18,-13.56,2028
-14,-13.55,2150
-16,-13.58,1906
-13,-13.59,2251
-15,-13.6,2183
-8,-13.53,2703
-11,-13.46,2474
-11,-13.45,2728
-8,-13.4,2671
-14,-13.36,2000
-7,-13.27,2707
-13,-13.26,2353
-12,-13.22,2362
-15,-13.22,1716
-17,-13.22,1562
-9,-13.14,2513
-17,-13.13,2086
-12,-13.09,2570
-15,-13.04,2030
-18,-13.05,1366
-12,-13.01,2273
-15,-13,2035
-11,-12.98,2398
-12,-12.93,2199
-11,-12.91,2058
-13,-12.89,2063
-12,-12.93,2172
-13,-12.89,1953
-17,-12.92,1915
-12,-12.88,1994
-9,-12.8,2337
-13,-12.82,2284
-3,-12.67,2846
-6,-12.57,2747
-16,-12.6,2026
-16,-12.63,1842
-14,-12.67,2039
-15,-12.65,1995
-8,-12.58,2497
-14,-12.61,2057
-11,-12.6,2201
-11,-12.58,2344
-13,-12.55,1976
-16,-12.58,1734
-7,-12.53,2829
-16,-12.61,1862
-14,-12.62,2074
-13,-12.66,1674
-16,-12.72,1682
-17,-12.75,1855
-15,-12.81,1934
-8,-12.8,2719
-16,-12.83,2208
-12,-12.88,2242
-17,-12.92,1861
-15,-12.91,2320
-14,-12.9,2564
-15,-12.99,2156
-11,-13,2408
-14,-13.02,2246
-9,-12.99,2297
-17,-13.01,1826
-12,-12.99,2183
-13,-12.97,2334
-12,-12.94,2420
-18,-13,1500
-10,-13,2670
-8,-12.95,2177
-5,-12.87,3142
-13,-12.83,2169
-10,-12.79,2604
-16,-12.83,2028
-15,-12.79,1788
-9,-12.74,2265
-13,-12.72,2045
-11,-12.77,2351
-9,-12.74,2820
-11,-12.7,2093
-11,-12.65,2247
-14,-12.66,1991
-12,-12.65,2197
-12,-12.62,1966
-12,-12.63,2272
-10,-12.54,2471
-9,-12.49,2639
-6,-12.44,2788
-12,-12.41,2430
-15,-12.46,2152
-9,-12.42,2561
-13,-12.4,2019
-9,-12.32,2419
-11,-12.39,2209
-12,-12.41,2114
-8,-12.38,2588
-9,-12.3,2797
-12,-12.3,2590
-14,-12.33,1953
-14,-12.32,2126
-8,-12.28,2980
-11,-12.3,2426
-13,-12.25,1964
-12,-12.23,2467
-10,-12.17,2389
-9,-12.13,2416
-13,-12.11,2500
-16,-12.19,1814
-9,-12.17,2540
-10,-12.16,2531
-13,-12.21,2342
-14,-12.21,2335
-13,-12.27,1997
-12,-12.26,2285
-6,-12.2,2731
-11,-12.16,2625
-16,-12.15,1809
-3,-12.09,3044
-13,-12.05,1914
-11,-12.04,2529
-9,-11.98,2526
-14,-11.94,2354
-10,-11.92,2486
-9,-11.86,2490
-9,-11.84,3041
-14,-11.86,2283
-11,-11.86,2411
-10,-11.83,2886
-15,-11.86,2022
-12,-11.85,2140
-14,-11.82,2146
-10,-11.8,2604
-14,-11.85,2104
-4,-11.76,3004
-10,-11.83,2595
1,-11.76,3375
-9,-11.69,2848
-14,-11.67,2044
-12,-11.65,2847
-15,-11.65,2416
-12,-11.69,2499
